;klasyfikator_0;klasyfikator_1;Wynik statystyczne lepszy
206;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
207;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
208;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
209;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
210;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
211;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
212;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
213;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
214;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
215;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
216;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
217;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
218;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
219;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
220;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
221;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
222;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
223;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
224;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
225;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
226;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
227;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
228;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
229;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
230;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
231;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
232;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
233;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
234;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
235;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
236;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
237;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
238;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
239;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;0
240;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
241;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
242;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
243;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
244;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
245;k = 10, metryka = minkowski, liczba cech = 8;k = 10, metryka = minkowski, liczba cech = 9;1
