;Parametr k;Metryka;Liczba cech;Dokładność;Wyniki
31;5;minkowski;5;0.8091575091575092;[0.7692307692307693, 0.8571428571428571, 0.8076923076923077, 0.8311688311688312, 0.7564102564102564, 0.8311688311688312, 0.7692307692307693, 0.8181818181818182, 0.8461538461538461, 0.8051948051948052]
32;5;minkowski;6;0.8284382284382286;[0.8076923076923077, 0.8311688311688312, 0.8333333333333334, 0.8441558441558441, 0.8205128205128205, 0.8181818181818182, 0.8717948717948718, 0.8571428571428571, 0.7692307692307693, 0.8311688311688312]
33;5;minkowski;7;0.8426739926739927;[0.8589743589743589, 0.8311688311688312, 0.8205128205128205, 0.8571428571428571, 0.8333333333333334, 0.8571428571428571, 0.8333333333333334, 0.8441558441558441, 0.7948717948717948, 0.8961038961038961]
34;5;minkowski;8;0.8193140193140195;[0.8589743589743589, 0.8181818181818182, 0.8717948717948718, 0.7402597402597403, 0.7692307692307693, 0.8441558441558441, 0.8076923076923077, 0.8571428571428571, 0.8205128205128205, 0.8051948051948052]
35;5;minkowski;9;0.8425241425241426;[0.8589743589743589, 0.8441558441558441, 0.8076923076923077, 0.8701298701298701, 0.8846153846153846, 0.8051948051948052, 0.8589743589743589, 0.8051948051948052, 0.8461538461538461, 0.8441558441558441]
36;10;euclidean;1;0.7805527805527805;[0.7564102564102564, 0.8051948051948052, 0.8461538461538461, 0.7402597402597403, 0.7564102564102564, 0.8051948051948052, 0.8076923076923077, 0.7402597402597403, 0.8076923076923077, 0.7402597402597403]
37;10;euclidean;2;0.7469863469863469;[0.7948717948717948, 0.7272727272727273, 0.7948717948717948, 0.7662337662337663, 0.782051282051282, 0.7142857142857143, 0.7435897435897436, 0.7662337662337663, 0.7051282051282052, 0.6753246753246753]
38;10;euclidean;3;0.7419746919746919;[0.7307692307692307, 0.7922077922077922, 0.7564102564102564, 0.7532467532467533, 0.782051282051282, 0.7402597402597403, 0.6538461538461539, 0.7402597402597403, 0.7564102564102564, 0.7142857142857143]
39;10;euclidean;4;0.8206626706626707;[0.8076923076923077, 0.8181818181818182, 0.8461538461538461, 0.7792207792207793, 0.8076923076923077, 0.8441558441558441, 0.8205128205128205, 0.8311688311688312, 0.8076923076923077, 0.8441558441558441]
40;10;euclidean;5;0.822011322011322;[0.782051282051282, 0.8701298701298701, 0.8333333333333334, 0.8311688311688312, 0.8076923076923077, 0.8181818181818182, 0.8589743589743589, 0.8051948051948052, 0.7692307692307693, 0.8441558441558441]
41;10;euclidean;6;0.8310522810522811;[0.8205128205128205, 0.8831168831168831, 0.8205128205128205, 0.7792207792207793, 0.7948717948717948, 0.8571428571428571, 0.8461538461538461, 0.8701298701298701, 0.8076923076923077, 0.8311688311688312]
42;10;euclidean;7;0.8297535797535799;[0.8205128205128205, 0.8181818181818182, 0.7948717948717948, 0.8571428571428571, 0.782051282051282, 0.8701298701298701, 0.8589743589743589, 0.8311688311688312, 0.8333333333333334, 0.8311688311688312]
43;10;euclidean;8;0.8334332334332335;[0.8717948717948718, 0.7922077922077922, 0.8461538461538461, 0.8051948051948052, 0.8205128205128205, 0.8311688311688312, 0.8846153846153846, 0.7792207792207793, 0.8333333333333334, 0.8701298701298701]
44;10;euclidean;9;0.8347319347319347;[0.8717948717948718, 0.8181818181818182, 0.8461538461538461, 0.8441558441558441, 0.8333333333333334, 0.8181818181818182, 0.8717948717948718, 0.7662337662337663, 0.8333333333333334, 0.8441558441558441]
45;10;minkowski;1;0.7678654678654678;[0.7564102564102564, 0.7792207792207793, 0.7692307692307693, 0.8181818181818182, 0.7692307692307693, 0.7662337662337663, 0.7564102564102564, 0.8311688311688312, 0.6923076923076923, 0.7402597402597403]
